Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2012,IL,Illinois,"1,28,70,798",6581881,5990653,91.01733988,591228,8.982660124,22.68,9.01,10.75,17.06,28.4,42.83
2012,IN,Indiana,"65,37,743",3169843,2905553,91.66236309,264290,8.337636911,19.38,8.44,10.3,15.26,23.45,34.7
2012,IA,Iowa,"30,76,310",1653144,1569881,94.96335467,83263,5.036645326,19.02,8.49,10.48,15.33,22.78,33.27
2012,KS,Kansas,"28,85,262",1485237,1400131,94.26987073,85106,5.730129266,19.53,8.42,10.25,15.06,23.6,35.23
2012,KY,Kentucky,"43,84,799",2059142,1891174,91.84281609,167968,8.157183914,18.72,8.36,10,14.78,22.67,33.2
2012,LA,Louisiana,"46,03,429",2080283,1933141,92.92682774,147142,7.073172256,18.86,8.3,9.77,14.93,22.97,33.74
2012,ME,Maine,"13,28,895",702638,650124,92.52616568,52514,7.473834322,19.64,8.84,11.04,15.84,23.59,34.07
2012,MD,Maryland,"58,89,651",3119647,2902307,93.03318613,217340,6.966813873,25.17,8.81,11.99,19.52,31.94,48.8
2012,MA,Massachusetts,"66,58,008",3485166,3252532,93.32502383,232634,6.67497617,26.73,9.6,13.26,20.88,33.52,50.5
2012,MI,Michigan,"98,87,238",4672701,4246659,90.88231839,426042,9.117681615,21.14,8.64,10.8,16.52,26.47,38.33
2012,MN,Minnesota,"53,80,285",2946364,2781141,94.39230862,165223,5.607691378,22.42,8.81,11.5,17.74,27.78,41.6
2012,MS,Mississippi,"29,84,945",1316552,1198204,91.01076144,118348,8.989238556,16.98,8.16,9.27,13.37,20.3,29.57
2012,MO,Missouri,"60,25,415",3025316,2815279,93.05735335,210037,6.942646652,19.79,8.39,10.14,15.21,24.15,36.1
2012,MT,Montana,"10,05,196",506494,476176,94.01414429,30318,5.985855706,18.29,8.53,10.11,14.49,22.33,32.28
2012,NE,Nebraska,"18,55,725",1014991,974433,96.0041025,40558,3.995897501,19,8.48,10.44,15.01,22.77,33.95
2012,NV,Nevada,"27,52,565",1376384,1222711,88.83501988,153673,11.16498012,20.16,8.55,10.79,15.87,24.58,36.55
2012,NH,New Hampshire,"13,21,182",741094,700372,94.50515049,40722,5.494849506,21.92,8.91,11.61,17.18,26.52,39.52
2012,NJ,New Jersey,"88,73,211",4588035,4159987,90.67034144,428048,9.329658558,25,8.96,11.87,19.17,31.85,47.23
2012,NM,New Mexico,"20,83,784",927797,861619,92.8671897,66178,7.132810302,19.92,8.52,10.12,15.11,24.5,36.92
2012,NY,New York,"1,96,02,769",9612240,8793387,91.48114279,818853,8.518857207,25.76,8.87,11.87,19.19,31.99,49.56
2012,NC,North Carolina,"97,46,175",4680067,4245682,90.71840211,434385,9.281597892,20.07,8.42,10.28,15.31,23.64,36.39
2012,ND,North Dakota,"7,02,087",397874,385677,96.93445664,12197,3.065543363,19.64,8.77,11.29,16.4,23.73,33.64
2012,OH,Ohio,"1,15,50,839",5705600,5284010,92.61094363,421590,7.389056366,20.52,8.57,10.38,16.03,25.47,36.68
2012,OK,Oklahoma,"38,17,054",1803868,1709262,94.75538121,94606,5.244618786,18.83,8.32,9.82,14.52,22.41,33.79
2012,OR,Oregon,"38,99,116",1953444,1780793,91.16171234,172651,8.83828766,21.75,9.3,11.49,17.14,26.59,39.66
2012,PA,Pennsylvania,"1,27,71,854",6462945,5957316,92.1764923,505629,7.823507704,21.4,8.73,11.14,16.78,26.12,38.7
2012,RI,Rhode Island,"10,52,901",558489,500436,89.60534585,58053,10.39465415,23.31,8.84,11.6,17.96,29.35,43.65
2012,SC,South Carolina,"47,20,760",2186880,1985620,90.79693445,201260,9.203065555,18.61,8.27,9.68,14.52,22.46,33.69
2012,SD,South Dakota,"8,34,441",442448,423504,95.7183669,18944,4.281633096,17.32,8.56,10.38,13.99,19.99,28.98
2012,TN,Tennessee,"64,54,306",3100682,2857952,92.17172222,242730,7.828277779,18.9,8.34,9.95,14.59,22.44,33.9
2012,TX,Texas,"2,60,71,655",12670483,11818688,93.2773281,851795,6.722671898,20.97,8.32,9.9,15.55,25.57,39.66
2012,UT,Utah,"28,55,782",1372970,1298807,94.59835248,74163,5.401647523,20.12,8.61,10.73,15.75,24.61,36.22
2012,VT,Vermont,"6,26,444",354859,337284,95.04732866,17575,4.952671343,21,9.43,11.73,16.61,24.94,36.26
2012,VA,Virginia,"81,92,048",4223850,3967988,93.94244587,255862,6.057554127,23.82,8.64,11.12,17.61,29.39,48.14
2012,WA,Washington,"68,95,226",3471290,3189275,91.87578681,282015,8.124213189,24.59,9.79,12.91,19.47,31.24,45.41
2012,WV,West Virginia,"18,56,560",807921,747387,92.50743575,60534,7.492564248,17.84,8.19,9.34,13.73,22.03,31.98
2012,WI,Wisconsin,"57,26,177",3073988,2857422,92.95488466,216566,7.045115336,20.15,8.58,10.82,16.18,24.57,35.62
2012,WY,Wyoming,"5,76,765",307272,290935,94.68321227,16337,5.316787732,20.76,8.94,11.86,17.67,26.37,35.41
2012,PR,Puerto Rico,"36,34,488",1194288,1021392,85.52308991,172896,14.47691009,13.12,7.83,8.45,9.61,14.8,21.56
2013,AL,Alabama,"48,29,479",2168417,2011639,92.76993309,156778,7.230066911,19.35,8.27,9.62,14.61,23.64,35.4
2013,AK,Alaska,"7,36,879",364977,339732,93.08312579,25245,6.916874214,25.53,10.12,14.15,21.32,32.53,44.63
2013,AZ,Arizona,"66,24,617",3036685,2801510,92.25553523,235175,7.74446477,21.33,8.76,10.87,16.43,25.91,40.08
2013,AR,Arkansas,"29,58,663",1308388,1212406,92.6641027,95982,7.335897303,17.95,8.21,9.43,13.9,21.28,31.93
2013,CA,California,"3,83,35,203",18624333,16958740,91.05689852,1665593,8.943101479,25.49,9.08,11.55,18.71,32.41,50.58
2013,CO,Colorado,"52,67,603",2775676,2585966,93.16526857,189710,6.834731431,23.53,8.96,11.68,18.04,28.94,44.3
2013,CT,Connecticut,"35,96,003",1868823,1723929,92.24677778,144894,7.753222215,26.16,9.36,12.69,20.33,32.86,47.39
2013,DE,Delaware,"9,25,395",442495,412750,93.27789015,29745,6.722109854,23.68,8.85,11.55,17.94,29.1,44.55
2013,FL,Florida,"1,95,82,022",9446597,8762921,92.76272715,683676,7.237272851,19.78,8.59,10.09,14.74,23.19,35.92
2013,GA,Georgia,"99,84,938",4758379,4367153,91.77816647,391226,8.221833528,21.17,8.38,10.12,15.63,25.83,39.95
2013,HI,Hawaii,"14,06,481",649550,617997,95.1423293,31553,4.857670695,21.84,8.97,11.98,17.75,27,39.61
2013,ID,Idaho,"16,12,011",771896,724439,93.85189196,47457,6.148108035,18.67,8.36,10.01,14.68,22.5,33.87
